-0:12	とみさたん	
2:01	ゆーしゃん46	おはやよ〜
2:01	DKYM	なんでや
2:01	わっとぅー	やよー
2:02	Jelena Jesti Zec .W	ほんとかなぁ？
2:03	もあく	最弱パン屋
2:03	BBあの	でた！パン屋
2:03	紺太	やよー
2:03	あっと	パン屋CO懐かしいな
2:03	youma takasato	なんでやろなあ
2:05	のどがおじいちゃん	なんでやろうなぁ
2:05	Ninyoru	パンやよ〜
2:06	ぽぽぽぽぽぽ	パンダだけに
2:06	ろりもと	パン屋ないの！？
2:07	のぞみGO	パン屋COならず
2:10	ヨドバシ	笹木〜！
2:10	あきんぼ	村人不利だな…
2:10	黒王子	パン屋
2:10	中山山中	あほあほ人狼ネタ
2:11	ぴろしき	草
2:11	オムライスター	パン屋はけっこうあると人狼キツイ
2:11	ビビリだま	あほあほ人狼でね
2:11	さみらい	草
2:11	歌舞伎揚	でたパン屋
2:11	チョコの工場	え？配信進まないの俺だけ？
2:11	mudkip	パン屋無し把握
2:11	陽介	なんかおしゃれだな
2:11	しもんず	パン屋ってなんだ...?
2:12	yura yura	おはやよー
2:12	ジャス・アゴーティス	パン屋ってなんや？
2:12	めいぷるたまご	パン屋CCOとかあったな
2:13	いつの間にかFCLになっていた男	やよ～
2:13	NNN RRR	パン屋COの笹木
2:13	リューケン	アホアホ人狼、抜粋で
2:14	kbf kbf	え？
2:14	ハル	パン屋は強すぎる
2:14	かぐや	笹木の画質怪しくね？
2:14	Akky tai	草
2:14	あおぱちぇ	パン屋実は強いんだよなぁ
2:14	# ChroSaku	もう嘘じゃん
2:14	ナーマニック	対抗パン屋の悲劇
2:14	ムネココ	笹
2:14	リンゴ	草
2:15	Licio-リシオ	？
2:15	宮本かなで	は？
2:15	庶汰	パン屋
2:16	siro yoshida	パン屋COするから…
2:16	ナナシサメ	薔薇を渡されているように見えるな
2:16	M	草
2:17	みどまる	草
2:17	こゆ	草
2:18	イェイョ	ダウト
2:18	鉄の塊	草
2:18	Kazu	また嘘ついてる
2:18	マヨケン	パン屋ってなんだ？
2:18	To Na	既に嘘ｗ
2:19	_らあこ	もう嘘ついてる
2:19	カービィ	草
2:20	直樹カナン	草
2:20	まほちゃ	草
2:21	S T	もう人狼なのよ
2:21	秋が好き	存在が人狼ｗ
2:21	Hana Tsukimi	リア狂
2:21	謙	フライパンをやきました
2:21	フジノンノン	生涯人狼
2:22	GNOME【ノーム】	もう嘘？
2:22	BaAR_ Vendel	ヴァンプさん静かじゃね？
2:22	たぬジョー。	すごい嘘ついた
2:23	FuyuYuu	もう嘘
2:23	デミ300	狂人かな？
2:23	砂糖くん	草
2:23	草bot	草
2:24	ハチミツ	パン屋強すぎるからな
2:24	くらいふぁと	今週やってただろｗ
2:24	としまるVTube大好き	いつも人狼してる
2:26	Ka Ka	草
2:27	つゆ	ダウト
2:27	Tadomi	草
2:27	よもぎ	人生が人狼
2:28	へなちょこ。	パン屋知らない人あほあほ人狼みてくれよな
2:28	めたる王	狂人枠だぞ
2:28	ウッウウッ	嘘つきの天才
2:28	梓	葛葉画質悪くね？
2:28	ぷるるん	もう人狼で草
2:29	あこヌン	嘘上手いからな
2:29	猫だいふく	これは人狼
2:29	Jack 38	リア狂かな
2:29	supi	へぇ
2:29	氏家	昨日やったろ
2:30	桃野パピコ	かなかなー
2:30	モカ	怪し
2:31	ASH	へぇ〜
2:31	御花見	へー
2:31	シマウマ剛士	草
2:31	South Shinasu	巴さんミュート？
2:32	井口スバル	叶さんは強そう
2:32	破狼[harou]	人狼RPGでも人狼苦手とかほざいてたかなかな
2:32	よもぎもちもち	もう草
2:34	からあげ	つい最近やってたやろがい！w
2:34	_ただの暇人_	もうダウト
2:34	sこいし	嘘はき
2:34	デスヨ。	しぃしぃに笹木のアクションが反映されてるな
2:34	たれぐま,	これは人狼
2:34	おまもり	意外や
2:35	T2ふぁーじ	すぐ嘘つく
2:36	紗瑛nasi【さえなし】	かなかなの人狼楽しみ
2:36	テトラアイン	にじBANs…
2:36	黒犬/kuroinu	もう人狼始まってる
2:36	ありす	揺れない笹木
2:37	韋駄天達磨	草
2:37	帝あるま	草
2:37	kbf kbf	ヴァンプさん怪しくね？
2:37	ドラ太郎	草
2:38	パク	素で人狼やん
2:39	亀のコーラ	忘れられたにじ
2:39	mikamika	草
2:39	泣く子も黙る上腕二頭筋	ハンニンニツグッ
2:40	ギガボルト40	嘘つけよｗ
2:40	n n	毛はめっちゃあるぞ
2:40	アンミツ	いえーーーーい
2:40	KOREこれ魚	葛葉ー
2:40	アンジュぺったんこ!	今日は他視点なし？
2:40	ししゃ	いえええ
2:40	アジの骨	意外とそうだったのか
2:40	ゆいたぴ	いえーい
2:41	さき	草
2:41	矢瀬	いえーい
2:41	Nicojin	草
2:41	ワタル	毛ほどはわかってるのか…
2:41	アマグモ	いええええい
2:41	みすお	草
2:41	kazuki kazasiro	草
2:44	べりを。	いえぇい
2:45	zale	ヴァンプさんあやしくね？
2:45	ホットドッグ	草
2:45	墓のセイ	頑張れ～
2:45	はるん	草
2:45	みけひた	草
2:46	ライムaoi	パン屋COの笹木じゃん
2:46	トムトムプリン	かなかなは嘘つくのが仕事だからな
2:47	さくめる	草
2:47	書店員	草
2:47	罹和	考察はしてたね
2:47	とっとこ冬花	草
2:47	DKYM	草
2:47	始メ	葛葉は人狼やってたやろ
2:48	ゆり	草
2:48	のえる	パン屋は死ぬと朝のパンがなくてかなしい役職
2:48	だらくま	いえーい
2:48	椿。	頑張れー
2:49	パンパンコ	草
2:50	山田ピヨ	草
2:50	フラン	草
2:50	marin	草
2:50	みどまる	対よろ！
2:50	ルルギア.	シンプルの人狼ね。
2:51	ネムイ	草
2:51	クズ豆柚子豆	草
2:51	カ氏96.8度	ヴァンプさん人見知ってね？
2:51	しろくま	いえ～い
2:52	taketo RONA	草
2:53	ほくりん	毛分かってれば大丈夫
2:53	たべっちかにっち	毛ほど分かってるから大丈夫だな！
2:54	雑。	毛ほど草
2:54	イガリマ	ヴァンプさん怪しくね？
2:55	OWL /M	葛葉はつよい
2:55	can-toku CANトク	リア狂になりそう
2:55	るたろー	草
2:55	鯖味噌	全員殴り倒せば勝ちだよ
2:56	マツリカ	は？
2:57	たいあきAA	嘘をつくな何回もやってるだろ
2:57	ミドレー	は？
2:57	まえじー	葛葉は犬
2:58	siro yoshida	面白いメンバー
2:58	シャムねこ	うわあ
2:58	ma	ヴァンプさんちょっと画質悪いの草
2:58	ああ	草
2:58	hide hide	雑フォロー草
2:58	えいいち	は？
2:58	こゆ	草
2:58	レイン	うわ
2:58	のりおくん	きしょ
2:59	kbf kbf	きも
2:59	わをーん	ぴょんぴょんかわいい
2:59	wa	？
2:59	mudkip	見たことないとは思ってたけど普通の口頭人狼初めてか でも強そう
2:59	Dear Deer	草
2:59	わたらら	草
2:59	たべっちかにっち	ん？
2:59	れれ	草
2:59	さちくろ	！？
2:59	トリウナギ	きつ…
2:59	てぃれもん	えぇ
2:59	セルカトネットヤーグ	は？
2:59	Ryouta Tnabe	ゆうくん
2:59	帽子屋ユエナ	がんばれ！
3:00	めぐし	え？
3:00	ちゃかぼ	グウェル怪しくね？
3:00	新鮮な腐ったクッキー	草
3:00	ちゃと	草
3:00	tudura moto	ええ…
3:00	rosugi	うわぁ
3:01	ニシナ	うわ
3:01	陽介	ん？
3:01	おいしい牛乳	草
3:02	_ awabyu	こわ
3:02	ぷりっつPretz	草
3:02	ゆっき	草
3:02	あんのうさぎ	草
3:02	PEACE YOU	は?
3:03	すずかgames!	草
3:03	近107	ううん、今来たとこ！
3:03	たこのプーさん	草
3:04	三流	え？
3:04	murabitoaaa	なんだそれｗｗ
3:04	犬井遊	浮気？
3:04	うすしおコンソメ味	草
3:04	えむけー	笑ってしまってるやん
3:04	まあライオン	草
3:04	nimu	え？
3:04	アインズによろしく	えぇ...
3:05	パズー犬	ん？
3:05	あり寄りのなし	もしポリ
3:05	リバァイ	うわぁ
3:05	Poko Tan	アンジュｗ
3:05	ポンデシイタケ	草
3:05	ふみはる	草
3:05	ムトケン	草
3:05	あいう	あれ？
3:06	6 6	こわい
3:06	【Emma】えま	草
3:06	archer	
3:06	Kotori Usagi	草
3:07	雨音	草
3:08	白兎	草
3:08	ぺょんて	草
3:08	かそく	うわ
3:09	ねこじろう	滑ってね？
3:09	もににこみ	えぇ
3:09	心刃	通報しました
3:09	i k	アンジュさぁ
3:09	はのう	ん？
3:09	はーげんだっつ	草
3:09	BLUE 350	草
3:09	ハッシー	草
3:10	抹茶猫ペンギン	草
3:10	ど貧民	草
3:10	しそこんぶ	！？
3:10	快晴	草
3:11	FCクイナ	草
3:12	アンジュぺったんこ!	草
3:12	AssGuardian	ベルさんは？
3:13	9 p	え？
3:13	まりも	草
3:13	みみちゃまん	ん？？？
3:14	よもぎもちもち	草
3:14	zale	リゼに言うからな!
3:15	k k	草
3:15	いちご大福	
3:15	テュルテュル	草
3:15	テトラアイン	草
3:15	Virtualキーさん	リゼに報告だな…
3:17	Dola Uc	ゆいかぁ
3:17	らせん	草
3:18	田中化学	ううん。今きた……えぇ…
3:19	たろけん	空気感！！！！
3:19	みっちー	やめとけアンジュ
3:19	チワワ	草
3:20	ひじりカレイド	狂気を感じた
3:20	只の杖	皇女に言いつけるｗ
3:20	ロフロス	草
3:21	北条琴塚	通報
3:21	睡馬	草
3:22	FCLのこっく でも料理はできない	草
3:22	〔こり〕狐狸	草
3:22	しましま	リゼいなかったらしぃしぃなんだなぁｗ
3:23	アゲハさん	ゆうくーーーん！
3:23	コピ牛乳	草
3:23	カナリア	狂気
3:24	柚葵-ゆうき-	草
3:24	モン	ストーカーおじさん降臨
3:24	taketo RONA	リゼアンはどこいった
3:24	わたらら	はい
3:24	mi mi	草
3:25	ととろろろ	NTR
3:25	韋駄天達磨	リゼに言うは草
3:25	S・ H	草
3:26	ぶんぶん	リゼは見てる気がする
3:26	イガリマ	リゼ見てるぅ～？
3:26	えぬ	oisu-
3:26	くりゅう	見てそうなんだよなぁｗ
3:26	めろんぱん	見てそう
3:26	can-toku CANトク	リゼに言う
3:27	がらなちゃん	はい
3:27	四季巧	草
3:27	だだまめちゃ	草
3:27	リューケン	リゼアンとは？
3:28	OWL /M	アンジュ〜再逮捕〜〜
3:28	山田ウッディー	んお？？？？
3:28	ギーマ	ゆうくーん！
3:28	カレー食べたい	草
3:29	ふぉぶりん	リゼ様ーこの人回収して―
3:29	いつの間にかFCLになっていた男	もしもしポリスメン？
3:30	高野望武	信じて送り出したアンジュが…
3:30	兄NG川	リゼ見てるは草
3:30	めぐし	草
3:30	morocco birdmen	草
3:30	StrangeLotus _71	草
3:30	しいまいるど	ぬるっといったな
3:31	れれ	草
3:31	舌噛み雀	草
3:31	えいいち	せやな
3:31	みどまる	草
3:31	碓氷#うすい	草
3:31	はばばば	ゆうくん！
3:31	すてぞう	草
3:32	wu wa	かわーい
3:32	渋谷乃々	生きとったんかワレ！
3:32	りあ	それはそう
3:32	みあchan.	それはほんとにそう
3:32	。 yu	巴さん頑張れー
3:32	かえるは帰る	草
3:32	ぴろしき_たぶん暇人	それはそう
3:32	漸狐	草
3:32	てると01	人狼か？
3:32	ああ	いぇーい皇女みってる〜
3:32	ミドレー	たしかに
3:32	カロ	草
3:33	るしゅ	草
3:33	koji郎	草
3:33	杜白	草
3:33	ひさゆHisayu	つよつよ
3:33	mifu hin	草
