-1:58	Robert Peary	Tik.....Tok is time~
1:10	篝火カガリビ	よみよるみ
1:11	アキパン	草
1:12	RyuDe	草
1:13	きょうからいちにちめ	こんれーなー！！
1:13	イド	よみよるみ
1:14	iroha ao	高級な
1:14	Keys	よみよみしぃしぃ
1:15	ぎるがめっしゅ	
1:15	黎明卿新しきボンドルド	草
1:15	ヘンゲ	おはしいな©
1:16	Virra	よみよるみゆいか
1:16	もこもこありえす	CYU
1:17	アンメルツ	しぃよみよるみ
1:18	ジーク	全員夜ぽい感じのイメージあるな
1:18	-銘-あき-A ki	ゲームの音でかいね
1:20	オルマン	しいよるよるみとか？
1:20	ワタル	ゲーム音どうしたｗ
1:20	ケンフー	よみよるみいな
1:20	83ヘチマ	しぃよみよるみでええやん
1:21	ぐだのすけ	語感がおぎやはぎ
1:23	Ketaけた	
1:24	うりす	こんれーなー よみちゃんも元気？
1:25	焼きナス	よるよるみいな
1:25	ラクタムβ	3人の色合いめちゃ良いよな
1:26	加藤	現レナシィ良いな
1:26	亀山	夜見オクタンか
1:26	ケン・キース	lol another stream
1:27	kbf kbf	「よみよるみ」で椎名さんもおるの面白いやん
1:27	かおう_____ta	しいなとよみよるみ
1:28	テラアル	よみよるみ！？
1:28	しろやま	よみよるみ大福！！！
1:29	長岡	
1:29	ミカグラ	ゆいよみよるみ
1:30	くろあた	よみよみぃ
1:30	mikan oisii	大福とよみよるみ
1:31	ミドレー	声きこえぬ
1:32	yasu fuji	しいな よるみ よみ 二文字目とっているみ
1:33	よっしぃ	よみよるしぃ
1:34	あんのうさぎ	
1:34	toy2	
1:37	花郎	おはしいな～
1:37	まつまえ	チームおよよ
1:38	Hirohiro	おはくず
1:40	鈴木山田	よみよるみ。←まるが椎名さん
1:43	やまだ	ゲーム音でけえｗ
1:43	アキパン	現れなしぃ！？
1:45	hachi 111	厨二チックなやつがいいな
1:45	かわ3	鬱？
1:45	うにあ	うつｗｗ
1:47	藤色	
1:49	つけ麺つけ麺僕つけ麺	鬱？
1:49	はんぺん	最強パーティー！
1:49	ワタル	鬱つ！？
1:50	こしみつ	草
1:50	求-矢澤	シンプルに繋げたな
1:50	カオス東方	
1:50	kbf kbf	鬱
1:51	ぐだのすけ	草
1:51	ふぉるす	鬱ｗ
1:52	Metallic	草
1:53	まっぴー	草
1:53	ターニングポイント	現れな氏？
1:53	ねこさん1号	草
1:53	なけなしのひなげし	鬱ww
1:54	ジーク	鬱つれなしぃ！？
1:55	kbf kbf	うつうつします…
1:56	toy2	うつつれなしぃ！？
1:56	Tshim Muaj	She’s live again
1:57	中野	うつつよみ
1:58	-銘-あき-A ki	草
1:58	たべっちかにっち	草
1:58	nn fu	鬱！？
1:58	ラクタムβ	草
1:59	イープカ	王見れな？
1:59	ヘィヴンダックス	鬱なのかよ
2:00	ソーセン	草
2:00	鶴部織羽	草
2:00	どどDodo	調整助かる
2:02	ガリレオ	草
2:02	シケポン	草
2:02	洛水佑馬	鬱だぁ
2:02	カービィ	草
2:02	黎明卿新しきボンドルド	鬱w
2:03	るーがるー	草
2:05	うにあ	うつなん？？ｗｗ
2:06	WRyou_Italy	ゲーム音調整おk
2:06	テルユウ	よみ鬱なんか…？
2:07	kbf kbf	よみたそをメンヘラていうな！！！
2:07	_らぐのすけ	ひびきいい
2:08	ミカグラ	ただの鬱じゃん
2:08	rosugi	鬱なの
2:08	アクメ漱石	よしみ
2:09	中野	ヨルミナティ
2:10	ディード	よみよるみが一番いいわ
2:10	かずき	鬱れなしぃ？
2:10	きのみ	ヨルミナティ
2:11	もこもこありえす	頭文字から取るのはどうだろ？
2:11	まっちゃん	鬱れな氏
2:11	こしみつ	うつれなしぃ！？
2:13	xlv	うつれなしい
2:13	伊豆半島	草
2:14	鳥取太郎	うつつLuna Sea
2:15	かわ3	鬱れなしぃ
2:15	テラアル	映れなしぃ！？
2:15	ぐだのすけ	草
2:16	リンタイラン	ウツレナシィ
2:16	ヘンゲ	欝つよみ
2:16	あかあか	
2:16	アキパン	鬱れなしぃ
2:21	春佳	鬱れなしぃ！？
2:21	もこもこありえす	しぃ！？
2:21	うにあ	よしみだれだよｗｗ
2:22	toy2	ヨルミナティみたいなイントネーション
2:22	taka坊	鬱れな氏。夜見鬱なんかｗ
2:22	かわ3	誰よその女！
2:23	シャムねこ	写れなし！
2:23	kaiei[かいえい]	よしみｗｗ
2:23	ラザフォードアーネスト	うつれないか
2:24	うりす	誰よその女！
2:24	てぃれもん	草
2:25	めがぁ	よしみ草
2:25	かそく	よしみ
2:26	ソーセン	草
2:26	こまち	草
2:26	なけなしのひなげし	誰なんや
2:26	失われた尊厳	画面に映れなそう
2:26	WRyou_Italy	草
2:27	クーラー	こんよしみぃ
2:27	めんとす	よしみって誰よ！
2:27	てぃーるる	よしみは草
2:27	サワリハス	どこの女よ
2:27	がらなちゃん	よしみ好き
2:27	Rei_ S2	よしみｗ
2:27	りんご	よしみ良くて草
2:28	嶺上開花	よしみ誰やねん
2:28	村田ネギ	よしみ！？
2:28	ぺーきち	良美
2:29	有村霧香	映れないしぃ！？
2:29	kbf kbf	チームよしみ
2:29	たべっちかにっち	よしみええやんｗ
2:29	まさなる	メンヘれなしぃ
2:30	っ。･ω･	草
2:33	オルマン	よしみは草
2:33	ふぉるす	誰よその女！
2:35	御園なすび 【みそのなすび】	443
2:35	カービィ	よしみって誰？
2:36	ケンフー	椎名顔ガチガチで草
2:36	よっしぃ	チーム『
2:36	sayyoh	よしみでええやん
2:37	しろやま	よしみで
2:39	Hirohiro	夜見おる！！
2:40	もこもこありえす	よしみ
2:41	コウ	よしみええな
2:42	ギラ	”うれしい”でいいんじゃい？
2:43	佐藤太郎	ダレよ！その女！
2:43	赤美	映れないな
2:44	83ヘチマ	誰よその女ぁ！
2:44	Sekitoセキト	443
2:44	しるこっこ	誰よよしみ！
2:44	こしみつ	好-よしみ-
2:48	migi	よしみ草
2:48	ジーク	ヨシミ
2:49	にか	天童よしみ
2:56	イープカ	よしみが深い
2:59	アキパン	草
2:59	うにあ	ｗｗ
3:01	クーラー	ミラージュ草
3:02	ソーセン	草
3:05	黎明卿新しきボンドルド	草
3:05	エンジュ	逃げてえらい！
3:05	ぐだのすけ	草
3:06	かそく	天才！
3:09	ヘィヴンダックス	3
3:09	アイスの具	スナックよしみで
3:09	かずき	声小さいかゲーム音でかいね
3:10	たべっちかにっち	爆速逃げｗ
3:10	ClariS	撤収！
3:13	がらなちゃん	草
3:13	めんとす	キルなんて要らない！
3:14	taka坊	シーフ系PT
3:15	ふぉるす	草
3:15	ネムイ	草
3:16	ギラ	即逃げは草
3:16	かびとる	戦わずして勝つのだ
3:17	kbf kbf	初戦から前言撤回
3:17	藍.	逃げのよしみ
3:19	Metallic	草
3:21	黎明卿新しきボンドルド	意見コロコロ変わるw
3:21	ケンフー	椎名ノリで生きてるから
3:22	83ヘチマ	ランクやってんのか
3:26	長岡	中日の嘗てのエース・吉見
3:28	ふくざわゆきち	見られてて草
3:29	求-矢澤	チームランナウェイ
3:30	きのみ	見られてて草
3:30	エメラルド板	キルポの怨霊
3:31	?っぴ	よしみ
3:31	うにあ	ｗｗ
3:31	WRyou_Italy	キルポの亡霊が取り憑いてた
3:32	ひがしのそら	草
3:33	たべっちかにっち	大会だときつそうｗ
3:34	ソーセン	草
3:35	ターニングポイント	草
3:36	つけ麺つけ麺僕つけ麺	草
3:37	アキパン	草
3:37	ヘィヴンダックス	手のひらドリルは基本なんで
3:38	ぐだのすけ	方針コロコロ
3:38	悪運のたっちょん	前言撤回の速さである
3:39	リンタイラン	夜見めっちゃ見てて草
3:41	星野空	意見くるくっる
3:42	アキパン	逃げのよしみ
3:42	かわ3	よしみ好き
3:42	鶴部織羽	弱そうｗ
3:43	青いザリガニ	手首ネジ切れる
3:43	ふぉるす	草
3:43	伊豆半島	いいねぇ
3:43	Metallic	草
3:44	うにあ	よしみだれなんだよｗｗ
3:45	ケンフー	何がええんや？
3:45	エマノン	草
3:45	ジーク	にげろ！よしみ
3:45	カービィ	草
3:45	るーがるー	草
3:46	バーガー丸山	よしみ誰やねん
3:46	テラアル	弱そう
3:47	雪国やっと	こんばんは
3:48	ぐだのすけ	草
3:49	ガリレオ	よしみ誰やねん
3:50	?!	攻めのよしみで
3:50	ソーセン	キルポの吉見
3:51	Keys	逃ノよしみ
3:53	kei kurono	見られてんじゃんw
3:53	アキパン	お
3:54	ワタル	音うるっさｗｗ
3:54	ケンフー	音でっかｗ
3:55	オルマン	うっま
3:55	テルユウ	101は草
3:55	佐藤太郎	逃野好美！？
3:56	春佳	音やっば
3:56	長岡	草
3:57	黎明卿新しきボンドルド	そんなチーム名にしたら追われるぞ
3:58	ソーセン	エイムよ
3:58	シャムねこ	うめえ！
3:59	ふぉるす	キルポおるね
3:59	Virra	GEKIRO
3:59	ねこさん1号	ゴーストエスケープ
3:59	アキパン	ないすう
4:00	がらなちゃん	ナイスゥ
4:00	うにあ	ないす！
4:00	カービィ	ナイスゥ！
4:00	ちなまる	キルポが目の前に！
4:00	たべっちかにっち	ナイスぅ！
4:01	メインクーン	音でかない？
4:01	どどDodo	ゲーム音でっか
4:01	kbf kbf	ナイス
4:01	ぐだのすけ	ナイスゥ
4:01	ふっとこ	うっま
4:02	ターニングポイント	ナイスゥ！
4:02	nn fu	つよ
4:02	かおう_____ta	ナイスゥ！
4:02	Metallic	
4:02	かそく	ナイスゥ
4:04	ネムイ	うまい
4:06	イープカ	ナイスよしみ
4:06	ギラ	ナイスゥ！
4:06	kbf kbf	これはキルポのよしみ
4:08	かおう_____ta	キルポだあああ！
4:09	村田ネギ	ゲーム音でかくない？
4:11	リンタイラン	ナイス
4:11	うにあ	いいぞ！！
4:11	Iceman	ナイスゥ！
4:12	アキパン	つよい
4:12	Metallic	
4:12	ななかな	ナイスゥ
4:13	ひさきあや	つよ
4:13	星野空	ゲーム音でけぇ！
4:14	かずき	ナイスゥ！
4:16	ラクタムβ	よしみの三位一体感
4:16	ソーセン	ナイスゥ
4:17	オルマン	エイム冴えてる！！
4:17	こしみつ	ｳｨｲｲｷﾙﾎﾟﾀﾞ
4:17	かびとる	しぃしぃめっちゃうまなってる…すげぇ…
4:17	yasu fuji	ナイスよしみ！！
4:17	?っぴ	ナイスよしみぃ！
4:17	ないむん	ナイス
4:19	WRyou_Italy	射撃音がでかい
4:21	ゆうた	上手
4:21	かおう_____ta	ナイスゥ！
4:22	みなみ	ないすー
4:22	アキパン	ないすう～
4:23	ぐだのすけ	ナイスゥ
4:23	たべっちかにっち	ナイスぅ！
4:23	雪国やっと	ゲーム音でか！
4:24	つけ麺つけ麺僕つけ麺	ないすぅ
4:25	くろあた	草
4:25	うにあ	ｗｗ
4:25	めんとす	謝りだして草
4:27	シケポン	ナイスゥ
4:27	鶴部織羽	ナイスゥ
4:28	ひがしのそら	ナイスゥ！
4:28	エメラルド板	そくあやまり
4:28	くろあた	正直でえらい
4:29	ぐだのすけ	草
4:30	るたろー	ないすー！
4:30	中野	よしみ最強じゃん
4:30	るーがるー	ナイス！
4:31	なぎのこ	逃げのよしみ
4:32	悪運のたっちょん	ナイスゥ！
4:32	ネムイ	草
4:33	かそく	草
4:34	?!	これは攻めのよしみ
4:34	白の落書き	ゲーム音クソデカ
4:34	青いザリガニ	草
4:35	なけなしのひなげし	シールドえらい
4:35	ふぉるす	草
4:36	桃花	幸先良いなｗ
4:36	黎明卿新しきボンドルド	普通に戦っても強いじゃねぇから
4:38	エンジュ	この組み合わせいいな
4:38	B. D.	ナイスナイスｗ
4:39	黛ヒロユキ	逃げてなくて草
4:39	エマノン	賑やかねえ
4:40	うにあ	よしみ最強じゃん
4:40	migi	草
4:40	facepalm	ゲーム音でっか
4:40	うどんこねっと	ないすよしみ！
4:41	ヘィヴンダックス	それは逆に無理だわ
4:41	kamitama	そんなうってないやろｗ
4:42	アキパン	当たってはいただろｗ
4:42	木目	最初のやつは当たってたろｗ
4:43	taka坊	【速報】逃げのよしみ、キルポを稼ぐ
4:43	うりす	ナイスゥ！
4:44	ねこさん1号	きるぽうまうま
4:45	ガリレオ	逆にすごい
4:46	ワタル	撃ってるときなんも聞こえんｗ
4:46	ふくざわゆきち	45は結構当たってたやんｗ
4:47	83ヘチマ	45
4:49	鼻セレブ	ナイスゥ
4:50	うべ	一人目めっちゃ当ててたからセーフ
4:52	っ。･ω･	全部持ってって草
4:52	きのみ	卍よしみ卍
4:53	えすこんじ	
5:00	ソーセン	ヘムロックと４５で大分差があるの草
5:02	sayyoh	よしみ最強！
5:03	亀山	逃げのよしみがキルポを稼ぐな
5:05	桃園あい	よしみ連携上手くね？
5:08	キキ	４５うますぎて草
5:12	アキパン	フェニキか・・・
5:12	かおう_____ta	草
5:14	ぺっちゃま	かしましくて草
5:14	うにあ	ｗｗ
5:14	かわ3	微妙な反応
5:14	ちなまる	草
5:14	かずき	草
5:16	ぐだのすけ	ふぇにきか(落胆)
5:16	黒七星	ご不満ｗ
5:16	ふぉるす	草
5:16	Katarina Vamp	フェニキ奪うのくさ
5:17	カペル	草
5:17	kakashi kojima	草
5:18	ケンフー	これしかないんだ！
5:18	WRyou_Italy	重い女
5:18	千年孤独のグリーンペペ	たすきに長し
5:19	kbf kbf	フェニキか…（落胆）
5:20	たべっちかにっち	微妙で草
5:25	うどんこねっと	フェニキかあ
5:25	ガリレオ	草
5:27	まっしゅぽてと	あぁ……フェニキか……
5:27	なけなしのひなげし	渋い反応たすかる
5:34	雪国やっと	反応微妙過ぎる
5:37	中野	漁りのよしみ
5:38	空腹のまろん	ぜいたくなやつらめ
5:41	がらなちゃん	見つけたぜ！
5:46	Sors Tres Milia	草
5:47	ぐだのすけ	草
5:48	っ。･ω･	草
5:49	えすこんじ	草
5:50	リンタイラン	かえたいよお
5:53	がらなちゃん	草
5:55	うにあ	ｗｗ
5:55	アキパン	草
5:56	加藤	ヘビアモ武器苦手なのは相変わらず
5:56	Metallic	草
5:59	カペル	草
6:01	ひがしのそら	草
6:03	まっぴー	なんのためのオクタンなんだ
6:03	星野空	草
6:05	シュテル	よみぴ結局レイス使ってるのか
6:05	エマノン	カカシかな
6:06	えすこんじ	砂アモ永遠に指すやんｗ
6:07	悪運のたっちょん	草
6:09	ステーキさん	スナイパーよしみ
6:11	みなみ	草
6:13	偲音	草
6:14	*るちあ	草
6:14	TOFU TOFU	逃げ足スナ
6:17	うにあ	ｗｗ
6:30	ぐだのすけ	草
6:35	アキパン	草
6:36	うにあ	神だな・・・
6:41	鼻セレブ	いいねぇ！
6:42	ケンフー	おはしいなより軽い神
6:42	春佳	ふわふわしすぎて草
6:43	ヘィヴンダックス	恐ろしい力だ
6:47	キキ	テンションたかｗ
6:48	たいやき	え？
6:48	うりす	え
6:50	まっぴー	あっ
6:50	スケルトン	！？
6:50	kbf kbf	よみカスダイヤか
6:51	kaiei[かいえい]	ダイヤｗｗ
6:51	オルマン	まじか
6:51	nn fu	草
6:52	めんとす	こわいねぇ
6:52	エマノン	い゛？
6:53	-銘-あき-A ki	草
6:53	亀山	？
6:54	ぐだのすけ	！？
6:54	ソーセン	草
6:54	バーガー丸山	ダイヤ帯なのかよｗ
6:55	ないむん	ダイヤ！？
6:55	うにあ	ダイヤか・・・
6:55	ネムイ	え、
6:55	ふぉるす	ま！？
6:55	がらなちゃん	ダイヤなんか
6:56	りんご	え？
6:56	xlv	つえーんすよ
6:56	神田ノ	つらいｗ
6:56	中野	ダイヤはよしみ
6:56	ねこさん1号	すご
6:57	エンジュ	ダイヤなんだ
6:57	ミカグラ	え〝
6:57	yasu fuji	ほあぁ
6:57	アキパン	ダイヤいっとったか
6:58	たべっちかにっち	え！？
6:58	リンタイラン	ダイヤでした
6:59	黎明卿新しきボンドルド	よみダイヤなんか
6:59	ふくざわゆきち	未知の領域で草
7:00	青いザリガニ	もうダイヤだったのか
7:01	フカ	ｯｽｰｰーー
7:01	るたろー	草
7:01	紅茶牛乳	ダイヤ？ｗ
7:02	ヘィヴンダックス	タイトル詐欺なんですよね
7:02	migi	がんばれーー
7:02	伊豆半島	うわ
7:04	ミカグラ	ダイヤかよすっげえ
7:04	テラアル	チャンピョン的にね
7:04	ちゃぽた	ダイヤか…
7:05	シュテル	よみぴダイヤなんだよね
7:06	かおう_____ta	やっばｗ
7:06	エメラルド板	ダイヤで草
7:07	りんご	ダイア3いるのか
7:08	PPP	ヤムチャじゃん
7:08	Hyao	今まで舐めてすみませんでした...
7:10	kbf kbf	ま、これがダイヤよ
7:10	オルマン	よみちゃんすげえ
7:12	ミカグラ	タイトル詐欺で草
7:12	なけなしのひなげし	よみさん強い
7:13	鳥取太郎	また椎名さんのポイントが溶けてしまう
7:13	83ヘチマ	太刀打ちできてますよしぃしぃ！！
7:13	ないむん	未知の領域だった
7:16	にゃん	ダイヤ
7:16	ぱうぜ	ダイヤ3以上にいるのか？
7:18	ころとも	チャンピオン部隊がダイヤ1だったからやばい
7:22	めなくじ	よみさんつええな
7:23	エマノン	未知の領域じゃん
7:23	taka坊	夜見、配信で珍しいスナ
7:28	鼻セレブ	よみぴに引っ張られてんのか
7:29	kamitama	たまないで
7:30	みそ吉	ティア差1までと違うん？
7:33	星野空	意図せずタイトル詐欺になっててくさ
7:36	ぐだのすけ	草
7:39	I I	ダイヤ
7:45	kbf kbf	プラチナ帯で生きてゆく（ダイヤ帯）
7:45	sayyoh	よしみの中に
7:46	空腹のまろん	いや、プラチナやない？
7:48	ぼっち太郎	ダイヤ4はプラチナマッチかな？
7:51	ターニングポイント	草
7:52	かそく	草
7:53	ソーセン	草
7:54	ころとも	上のマッチングにおしこまれてる
7:54	めんとす	上からじゃん
7:55	フカ	草
7:55	ひがしのそら	草
7:55	テルユウ	これがダイヤ
7:55	カペル	草
7:55	まっぴー	やるやん
7:55	ガリレオ	やるじゃん
7:55	コメで笑ったら登録しておくれ	おい弾ねえぞ
7:55	ケンフー	一番下やぞ
7:56	hachi 111	なんだこの丸顔
7:56	よっしぃ	チーム『
7:57	うにあ	やるじゃないの！
7:58	黎明卿新しきボンドルド	ダイヤ相手に上からw
7:59	ふぉるす	上からで草
7:59	kbf kbf	ふーん、やるじゃん
7:59	えすこんじ	上からで草
8:00	たべっちかにっち	何キャラｗ
8:00	うりす	ダイヤだからな・・・
8:00	ねこさん1号	君一番下w
8:01	iroha ao	やるじゃん
8:02	電脳動物アヒル	ふーんやるじゃん
8:04	?っぴ	よしみ介護
8:08	シケポン	やるじゃん
8:15	まっしゅぽてと	しぃしぃ99あげればよかったんに
8:22	コマミ	ダイヤとゴールドって一緒にランクいけたっけ？？
8:25	めんとす	不毛すぎる
8:27	ニコフ	ｲﾀｲﾖｵ
8:29	エリアスエインズワース	こんしぃしぃ
8:34	鼻セレブ	なんかしぃしぃ薄着じゃね？
8:36	ぐだのすけ	撤収！
8:37	petro _6	ダイヤ3以上はゴールドと組めなくなかった？違ったらごめん
8:37	ふぉるす	撤収！
8:37	I I	あてぃし、気持ちはプレデター
8:40	はぐぅ	名前がサブ垢やん
8:42	電脳動物アヒル	撤収はや
8:43	SAIRA	格差マッチングに放り込まれたんでしょ
8:43	sayyoh	逃げのよしみ
8:45	VON	チャンピオン部隊がダイヤ１だっただけでよみはプラチナやで
8:50	rabbit dog	時折プラチナ帯が上位マッチに巻き込まれる事故が起きるのです
8:51	空腹のまろん	組めないのカジュアルじゃないの？ランクもだっけ？
8:55	まっちゃん	YOSHIMI
8:56	フカ	ダイヤ
9:05	雪国やっと	椎名さんすぐにダイヤ行けるんじゃね
9:06	チロ	よみさんがプラ４だけどチャンピオンはダイヤ１
9:11	まっしゅぽてと	このマッチがダイヤ帯なだけやで
9:14	コマミ	なるほど！ありがとうございます
9:19	うにあ	神武器じゃん
9:27	アキパン	草
9:27	りんご	コメ欄さんきゅ理解した
9:29	ぐだのすけ	草
9:30	カペル	草
9:31	Metallic	草
9:32	petro _6	あーそういうことか
9:39	エマノン	夜見ピカピカ
9:40	えすこんじ	メイン武器Lスター
9:40	ソーセン	Lスターの夜見
9:41	ぱうぜ	草
9:42	iroha ao	神武器だぞ
9:42	フカ	神器
9:44	83ヘチマ	l
9:46	ニーロ	こんばんは
9:49	こんあじ&	人数が足りないと違うランク帯でもマッチします
9:52	ないむん	眩しい夜見
9:52	リコ	草
9:54	toy2	よみ相変わらず索敵すごい
10:02	nukoe 1160	そもそも今のプラチナ帯は前期マスターダイヤだらけやけどね
10:11	雪国やっと	Lスターを救いたい
10:20	めんとす	くさいねぇ！
10:27	あすとれあ。	大会出んの？
10:28	ターニングポイント	草
10:30	ぐだのすけ	草
10:35	うにあ	いくぞおお！
10:36	めんとす	練習だからな！
10:37	るたろー	草
10:37	I I	せやな
10:38	kakashi kojima	前向きでかわいい
10:38	ラクタムβ	草
10:38	Cj	草
10:40	かおう_____ta	草
10:40	アキパン	草
10:42	ふぉるす	草
10:42	鼻セレブ	犬かな？
10:42	Metallic	草
10:42	テルユウ	え？
10:43	エマノン	攻めのよしみ
10:43	うにあ	ｗｗ
10:44	みなみ	弾がねえ
